From,To,Element,Threshold,Groups
Cingulum_Ant_R_t_1,Caudate_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Oper_L_t_0,Temporal_Pole_Sup_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Oper_L_t_1,Temporal_Pole_Sup_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Tri_R_t_0,Temporal_Pole_Sup_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Inf_Tri_R_t_1,Temporal_Pole_Sup_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_R_t_0,Calcarine_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Med_Orb_R_t_1,Calcarine_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Mid_Orb_R_t_0,Temporal_Pole_Sup_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Mid_Orb_R_t_1,Temporal_Pole_Sup_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Sup_Medial_R_t_0,Frontal_Mid_Orb_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Sup_Medial_R_t_1,Frontal_Mid_Orb_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Sup_Orb_L_t_0,Frontal_Inf_Oper_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Sup_Orb_L_t_1,Frontal_Inf_Oper_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Sup_Orb_R_t_0,Cerebelum_Crus1_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Frontal_Sup_Orb_R_t_1,Cerebelum_Crus1_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Fusiform_L_t_0,ParaHippocampal_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Fusiform_L_t_1,ParaHippocampal_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ParaHippocampal_L_t_0,Amygdala_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ParaHippocampal_L_t_0,Fusiform_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ParaHippocampal_L_t_1,Amygdala_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ParaHippocampal_L_t_1,Fusiform_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ParaHippocampal_R_t_0,Calcarine_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ParaHippocampal_R_t_0,Hippocampus_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ParaHippocampal_R_t_1,Calcarine_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
ParaHippocampal_R_t_1,Hippocampus_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Parietal_Inf_R_t_0,Temporal_Mid_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Parietal_Inf_R_t_1,Temporal_Mid_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Putamen_L_t_0,Insula_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Putamen_L_t_1,Insula_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Rectus_L_t_0,Temporal_Inf_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Rectus_L_t_1,Temporal_Inf_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Inf_L_t_0,Occipital_Mid_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Inf_L_t_1,Occipital_Mid_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Pole_Sup_L_t_0,Frontal_Inf_Oper_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Pole_Sup_L_t_1,Frontal_Inf_Oper_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Sup_R_t_0,Temporal_Pole_Sup_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Temporal_Sup_R_t_1,Temporal_Pole_Sup_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Amygdala_L_t_0,Vermis_3_t_0,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Amygdala_L_t_1,Vermis_3_t_1,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Angular_L_t_0,Occipital_Inf_L_t_0,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Angular_L_t_0,Paracentral_Lobule_L_t_0,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Angular_L_t_0,Temporal_Pole_Mid_R_t_0,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Angular_L_t_1,Occipital_Inf_L_t_1,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Angular_L_t_1,Paracentral_Lobule_L_t_1,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Angular_L_t_1,Temporal_Pole_Mid_R_t_1,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Angular_R_t_0,Paracentral_Lobule_R_t_0,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
Angular_R_t_1,Paracentral_Lobule_R_t_1,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
bmi_t_0,Calcarine_R_t_0,Not Shared PDS Encoding,0,PDS Encoding & PDS Retrieval
